feature,importance_mean,importance_std
n_items,0.04937638440656386,0.004170327505231452
seller_prior_bad_rate,0.02476584924510034,0.001920490750790494
n_distinct_sellers,0.019995278093339456,0.0016420217590595815
promised_delivery_days,0.004338768117377175,0.00044597114355357574
total_freight,0.004259493454583985,0.0011354646541976003
product_category_name_english,0.0037972025624300187,0.0019411492276876126
customer_state,0.0019501918016291326,0.0016278627896684763
avg_weight_g,0.0014117679702806696,0.0006330529196634227
seller_prior_n_orders,0.0010096027304992983,0.0013475919832173066
total_payment_value,0.0009110267303055845,0.0005158501155461589
purchase_hour,0.0006927078117632176,0.0008166908483133841
n_distinct_products,0.0002928693985681426,0.00019833182243973217
avg_price,0.0002715768957090951,0.0006505882066818256
seller_state,8.180560296031092e-05,0.0008592694949598028
total_price,5.668345329163752e-05,0.0004631106062498636
is_interstate,2.5919248481748314e-05,0.00037099744521167983
price_per_item,0.0,0.0
high_installments,0.0,0.0
is_multi_seller,0.0,0.0
n_payment_methods,0.0,0.0
is_multi_item,0.0,0.0
purchase_month,-1.5082895829234463e-05,9.008950500417332e-05
purchase_dow,-0.00019020401671199227,0.0005960086690723944
payment_type,-0.0002312850521987153,0.00022407098435018078
avg_desc_length,-0.0003645803752053515,0.0008490072700053342
freight_to_price_ratio,-0.0004607985555481013,0.0003972039664650011
max_price,-0.0005708231702341582,0.0004915374964240528
avg_name_length,-0.0007318240628824227,0.0002967588187280731
avg_photos_qty,-0.0009615341475759006,0.00040223964116309596
n_payment_installments,-0.0009960301430815648,0.0005412702910557124
