intervention_success_rate,best_threshold,best_savings_vs_flag_nothing,precision_at_best,recall_at_best
0.05,0.827,-1709.78,1.0,0.0382
0.1,0.827,-1519.56,1.0,0.0382
0.15,0.827,-1329.33,1.0,0.0382
0.2,0.704,-1102.63,0.9762,0.0412
0.25,0.582,-770.4,0.7593,0.0618
0.3,0.582,-114.48,0.7593,0.0618
0.35,0.582,541.44,0.7593,0.0618
0.4,0.459,1615.62,0.5937,0.094
0.45,0.459,2801.95,0.5937,0.094
0.5,0.459,3988.28,0.5937,0.094
0.55,0.459,5174.6,0.5937,0.094
0.6,0.337,6679.84,0.4702,0.1388
0.65,0.337,8459.41,0.4702,0.1388
0.7,0.296,10306.74,0.4095,0.1639
0.75,0.296,12464.36,0.4095,0.1639
0.8,0.296,14621.99,0.4095,0.1639
0.85,0.296,16779.61,0.4095,0.1639
0.9,0.296,18937.23,0.4095,0.1639
0.95,0.296,21094.86,0.4095,0.1639
