threshold,precision,recall,f1,n_flagged,true_positives,false_positives,false_negatives,true_negatives,expected_total_cost,savings_vs_flag_nothing
0.01,0.1123,1.0,0.2019,17711,1989,15722,0,0,558643.08,-393117.25
0.035,0.1127,0.997,0.2025,17592,1983,15609,6,113,555739.21,-390213.38
0.059,0.1163,0.9432,0.2071,16125,1876,14249,113,1473,520559.42,-355033.59
0.084,0.1314,0.8155,0.2264,12342,1622,10720,367,5002,430437.18,-264911.36
0.108,0.1501,0.6526,0.244,8650,1298,7352,691,8370,344097.67,-178571.84
0.133,0.1811,0.5249,0.2693,5765,1044,4721,945,11001,276742.92,-111217.09
0.157,0.208,0.4077,0.2755,3899,811,3088,1178,12634,235191.89,-69666.07
0.182,0.2367,0.3248,0.2738,2729,646,2083,1343,13639,210188.21,-44662.39
0.206,0.2706,0.2695,0.27,1981,536,1445,1453,14277,194301.53,-28775.7
0.231,0.305,0.2288,0.2614,1492,455,1037,1534,14685,184983.63,-19457.8
0.255,0.3453,0.1986,0.2522,1144,395,749,1594,14973,178450.56,-12924.73
0.28,0.38,0.1735,0.2382,908,345,563,1644,15159,174481.21,-8955.38
0.304,0.4229,0.1599,0.232,752,318,434,1671,15288,171855.65,-6329.83
0.329,0.4618,0.1458,0.2216,628,290,338,1699,15384,169940.36,-4414.53
0.353,0.4885,0.1282,0.2031,522,255,267,1734,15455,169017.97,-3492.14
0.378,0.514,0.1197,0.1941,463,238,225,1751,15497,168047.99,-2522.16
0.402,0.5362,0.1116,0.1848,414,222,192,1767,15530,167352.54,-1826.72
0.427,0.555,0.1041,0.1753,373,207,166,1782,15556,166985.56,-1459.73
0.451,0.5861,0.0975,0.1672,331,194,137,1795,15585,166388.07,-862.25
0.476,0.6138,0.0895,0.1562,290,178,112,1811,15610,166038.04,-512.22
0.5,0.6385,0.0835,0.1476,260,166,94,1823,15628,166032.37,-506.54
0.525,0.6481,0.0759,0.1359,233,151,82,1838,15640,166025.3,-499.47
0.549,0.6733,0.0684,0.1241,202,136,66,1853,15656,166092.73,-566.9
0.574,0.744,0.0628,0.1159,168,125,43,1864,15679,165716.26,-190.43
0.598,0.7862,0.0573,0.1068,145,114,31,1875,15691,165615.37,-89.55
0.623,0.8226,0.0513,0.0965,124,102,22,1887,15700,166060.45,-534.62
0.647,0.8679,0.0463,0.0878,106,92,14,1897,15708,166034.04,-508.21
0.671,0.9247,0.0432,0.0826,93,86,7,1903,15715,166165.01,-639.18
0.696,0.9762,0.0412,0.0791,84,82,2,1907,15720,166129.76,-603.94
0.721,0.9756,0.0402,0.0773,82,80,2,1909,15720,166272.11,-746.28
0.745,0.9875,0.0397,0.0764,80,79,1,1910,15721,166265.44,-739.61
0.77,0.9872,0.0387,0.0745,78,77,1,1912,15721,166307.99,-782.16
0.794,0.987,0.0382,0.0736,77,76,1,1913,15721,166309.49,-783.67
0.819,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.843,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.868,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.892,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.917,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.941,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.966,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
0.99,1.0,0.0382,0.0736,76,76,0,1913,15722,166284.49,-758.67
